name,category,status,severity,observed,expected,details
information ratio recorded from generated summary: Underlying Markowitz,empirical,pass,critical,0.07169818618150268,,
performance metric matches summary: Underlying Markowitz / Ann. return,empirical,pass,critical,0.1785517211015295,0.17855172110152953,
performance metric matches summary: Underlying Markowitz / Ann. vol,empirical,pass,critical,0.19645175039322108,0.1964517503932212,
performance metric matches summary: Underlying Markowitz / Sharpe,empirical,pass,critical,0.9088833301008387,0.9088833301008382,
performance metric matches summary: Underlying Markowitz / Sortino,empirical,pass,critical,1.8560338426832323,1.8560338426832312,
performance metric matches summary: Underlying Markowitz / Calmar,empirical,pass,critical,0.5902286749234769,0.5902286749234765,
performance metric matches summary: Underlying Markowitz / Omega,empirical,pass,critical,1.9287455618155838,1.9287455618155838,
worst month matches summary: Underlying Markowitz,empirical,pass,critical,-0.0732331521875972,-0.07323315218759721,
random feasible p95 matches summary,empirical,pass,critical,1.1449656633511185,1.1449656633511185,
random feasible seed output count,empirical,pass,critical,250,250,
factor regression artifact exists for standalone verification,empirical,pass,critical,8,,
factor regression artifact strategies match summary,empirical,pass,critical,"[""Beta/delta-neutral + VIX"", ""Delta-matched equities"", ""Equal premium"", ""Equal risk"", ""Equity-option Greek Markowitz"", ""Greek Markowitz + VIX"", ""Underlying Markowitz"", ""VIX hedge sleeve""]","[""Beta/delta-neutral + VIX"", ""Delta-matched equities"", ""Equal premium"", ""Equal risk"", ""Equity-option Greek Markowitz"", ""Greek Markowitz + VIX"", ""Underlying Markowitz"", ""VIX hedge sleeve""]",
P&L attribution reconciles: Equity-option Greek Markowitz,empirical,pass,critical,0.8941645725850716,0.894164572585072,
P&L attribution reconciles: Greek Markowitz + VIX,empirical,pass,critical,1.2463192285080005,1.2463192285080007,
P&L attribution reconciles: Beta/delta-neutral + VIX,empirical,pass,critical,1.1720618697652667,1.1720618697652665,
P&L attribution reconciles: Equal premium,empirical,pass,critical,-0.05552159864526729,-0.05552159864526898,
P&L attribution reconciles: Equal risk,empirical,pass,critical,0.10434553413679737,0.10434553413679803,
P&L attribution reconciles: VIX hedge sleeve,empirical,pass,critical,-9.28491238522107,-9.28491238522107,
simulation covers central strategy/basis pairs,empirical,pass,critical,"[[""Full-spread post-cost"", ""Beta/delta-neutral + VIX""], [""Full-spread post-cost"", ""Delta-matched equities""], [""Full-spread post-cost"", ""Equal premium""], [""Full-spread post-cost"", ""Equal risk""], [""Full-spread post-cost"", ""Equity-option Greek Markowitz""], [""Full-spread post-cost"", ""Greek Markowitz + VIX""], [""Full-spread post-cost"", ""Underlying Markowitz""], [""Full-spread post-cost"", ""VIX hedge sleeve""], [""Gross before costs"", ""Beta/delta-neutral + VIX""], [""Gross before costs"", ""Delta-matched equities""], [""Gross before costs"", ""Equal premium""], [""Gross before costs"", ""Equal risk""], [""Gross before costs"", ""Equity-option Greek Markowitz""], [""Gross before costs"", ""Greek Markowitz + VIX""], [""Gross before costs"", ""Underlying Markowitz""], [""Gross before costs"", ""VIX hedge sleeve""]]","[[""Full-spread post-cost"", ""Beta/delta-neutral + VIX""], [""Full-spread post-cost"", ""Delta-matched equities""], [""Full-spread post-cost"", ""Equal premium""], [""Full-spread post-cost"", ""Equal risk""], [""Full-spread post-cost"", ""Equity-option Greek Markowitz""], [""Full-spread post-cost"", ""Greek Markowitz + VIX""], [""Full-spread post-cost"", ""Underlying Markowitz""], [""Full-spread post-cost"", ""VIX hedge sleeve""], [""Gross before costs"", ""Beta/delta-neutral + VIX""], [""Gross before costs"", ""Delta-matched equities""], [""Gross before costs"", ""Equal premium""], [""Gross before costs"", ""Equal risk""], [""Gross before costs"", ""Equity-option Greek Markowitz""], [""Gross before costs"", ""Greek Markowitz + VIX""], [""Gross before costs"", ""Underlying Markowitz""], [""Gross before costs"", ""VIX hedge sleeve""]]",
simulation methods include block and volatility clustered,empirical,pass,critical,"[""circular_block_bootstrap"", ""egarch_or_ewma""]",,
simulation inputs are OOS only,empirical,pass,critical,2021-01-29T00:00:00,>2020-12-31,
simulation source length matches OOS returns,empirical,pass,critical,"[{""N obs"": 60, ""Return basis"": ""Gross before costs"", ""Strategy"": ""Equity-option Greek Markowitz""}, {""N obs"": 60, ""Return basis"": ""Gross before costs"", ""Strategy"": ""Equity-option Greek Markowitz""}, {""N obs"": 60, ""Return basis"": ""Gross before costs"", ""Strategy"": ""Greek Markowitz + VIX""}, {""N obs"": 60, ""Return basis"": ""Gross before costs"", ""Strategy"": ""Greek Markowitz + VIX""}, {""N obs"": 60, ""Return basis"": ""Gross before costs"", ""Strategy"": ""Beta/delta-neutral + VIX""}, {""N obs"": 60, ""Return basis"": ""Gross before costs"", ""Strategy"": ""Beta/delta-neutral + VIX""}, {""N obs"": 60, ""Return basis"": ""Gross before costs"", ""Strategy"": ""Delta-matched equities""}, {""N obs"": 60, ""Return basis"": ""Gross before costs"", ""Strategy"": ""Delta-matched equities""}]",60,
simulation breach probabilities bounded,empirical,pass,critical,"{""max"": 1.0, ""min"": 0.0}","[0,1]",
VIX regime table complete,empirical,pass,critical,24,24,
leave-one-out row present: No META,empirical,pass,critical,"[""All underlyings"", ""No AAPL"", ""No AMZN"", ""No GOOGL"", ""No JPM"", ""No META"", ""No MSFT"", ""No NVDA"", ""No TSLA"", ""No META/NVDA/TSLA""]",,
leave-one-out row present: No NVDA,empirical,pass,critical,"[""All underlyings"", ""No AAPL"", ""No AMZN"", ""No GOOGL"", ""No JPM"", ""No META"", ""No MSFT"", ""No NVDA"", ""No TSLA"", ""No META/NVDA/TSLA""]",,
leave-one-out row present: No TSLA,empirical,pass,critical,"[""All underlyings"", ""No AAPL"", ""No AMZN"", ""No GOOGL"", ""No JPM"", ""No META"", ""No MSFT"", ""No NVDA"", ""No TSLA"", ""No META/NVDA/TSLA""]",,
leave-one-out row present: No META/NVDA/TSLA,empirical,pass,critical,"[""All underlyings"", ""No AAPL"", ""No AMZN"", ""No GOOGL"", ""No JPM"", ""No META"", ""No MSFT"", ""No NVDA"", ""No TSLA"", ""No META/NVDA/TSLA""]",,
rolling 36M OOS recorded,empirical,pass,critical,20.0,,
