feasible,max_breach,scenario_cvar_loss,worst_stress_return,short_margin_used,collateral_used,gross_nav,breach_base,breach_cap,breach_cvar,breach_stress,breach_margin,breach_collateral,breach_assignment,method,method_status,solver,predicted_annual_vol,breach_volatility,breach_sign,breach_positive_edge,expected_net_return,predictable_cost,net_utility,continuous_l1_distance,integer_contracts,available,selected,config,strategy,return_date,decision_date
False,0.002676325049162,0.102676325049162,-0.0556160134308638,0.2998065997848511,0.3170375997848511,0.083573,0.0,0.0,0.002676325049162,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2477689611141642,0.0,0.0,0.0022,0.0111127202279215,0.0045892601695525,0.0078133391091148,0.0063289667786766,959,True,False,orig+VIX,R1.1 25pct positive-edge deployment,2019-07-31,2019-06-28
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0899019667786766,0,True,True,orig+VIX,R1.1 25pct positive-edge deployment,2019-07-31,2019-06-28
False,0.0037131165818626,0.1037131165818626,-0.065833392770876,0.3240619997177124,0.3477019997177124,0.09267,0.0,0.0,0.0037131165818626,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2473274767871822,0.0,0.0,0.0022,0.0119554359929951,0.0050215724286707,0.0085661143183439,0.0079175099158572,1058,True,False,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-07-31,2019-06-28
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1005875099158573,0,True,True,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-07-31,2019-06-28
False,0.0011264659057589,0.1011264659057589,-0.018912464844292,0.2800385,0.2833745,0.070866,0.0,0.0,0.0011264659057589,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2484194717214016,0.0,0.0,0.0,0.0125971404844572,0.0050017425020334,0.0079327328158737,0.003892041354475,912,True,False,orig+VIX,R1.1 25pct positive-edge deployment,2019-08-30,2019-07-31
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074758041354475,0,True,True,orig+VIX,R1.1 25pct positive-edge deployment,2019-08-30,2019-07-31
True,0.0,0.0980613656103699,-0.0095965417561833,0.2108855,0.2126915,0.056227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2488574031736313,0.0,0.0,0.000775,0.0101159013905443,0.00400346093927,0.0058067483884329,0.002651401166045,689,True,True,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-08-30,2019-07-31
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058878401166045,0,True,False,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-08-30,2019-07-31
False,0.0032262482180873,0.1032262482180873,-0.0215853553853852,0.2868879999542236,0.3034569999542236,0.0980439999999999,0.0,0.0,0.0032262482180873,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2457086114799451,0.0,0.0,0.001635,0.0142969581033398,0.0049659503689504,0.0097091992390658,0.0069584331854264,723,True,False,orig+VIX,R1.1 25pct positive-edge deployment,2019-09-30,2019-08-30
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1050024331854264,0,True,True,orig+VIX,R1.1 25pct positive-edge deployment,2019-09-30,2019-08-30
True,0.0,0.0998417223792637,-0.0261948074108148,0.2081120001220703,0.2213510001220703,0.0808189999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2461244284543582,0.0,0.0,0.00026,0.0120827009938738,0.0037658152218407,0.0071164547079243,0.0047325123509482,562,True,True,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-09-30,2019-08-30
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0855515123509481,0,True,False,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-09-30,2019-08-30
False,0.0006457711235396,0.1006457711235396,-0.011727443313918,0.2804289001693726,0.2896399001693726,0.085076,0.0,0.0,0.0006457711235396,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2487479169905022,0.0,0.0,0.003096,0.0127422836196614,0.0044792197425531,0.008023942310993,0.0050548126975027,865,True,False,orig+VIX,R1.1 25pct positive-edge deployment,2019-10-31,2019-09-30
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0901308126975027,0,True,True,orig+VIX,R1.1 25pct positive-edge deployment,2019-10-31,2019-09-30
True,0.0,0.099806728166032,-0.0106977188140205,0.2715594001693726,0.2810584001693725,0.084639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2489519259677197,0.0,0.0,0.003483,0.0125356756167199,0.0043944224180481,0.0078798019828298,0.0049977693182347,837,True,True,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-10-31,2019-09-30
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0896367693182347,0,True,False,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-10-31,2019-09-30
True,0.0,0.0997367715167712,-0.0117223601711275,0.2877875,0.3140685,0.085828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2486124495396536,0.0,0.0,0.0198899999999999,0.0098252070452062,0.0058950790253917,0.006359177134105,0.003381326657348,1124,True,True,orig+VIX,R1.1 25pct positive-edge deployment,2019-11-29,2019-10-31
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089209326657348,0,True,False,orig+VIX,R1.1 25pct positive-edge deployment,2019-11-29,2019-10-31
True,0.0,0.0989757998940859,-0.018436473159731,0.3429875,0.3688645,0.093111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2493148572007037,0.0,0.0,0.01833,0.0112205355490637,0.0064705446237146,0.0072574039300798,0.0041699789094131,1312,True,True,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-11-29,2019-10-31
