config,strategy,knobs_label,participation,aum,mode,solver_status,capacity_infeasible,sum_of_caps,deployed_gross,gross_sharpe,net_sharpe,gross_ann_ret,net_ann_ret,mean_monthly_capacity_cost,max_capacity_ratio,capacity_penalized_share,spread_proxy_fill
larger+VIX,Equal risk capped,naive_capped,0.05,25000000.0,relaxed,reference,True,0.060592934,0.057563287299999995,-0.2873724142902378,-0.605157971902741,-0.02253091888500056,-0.04742374041566871,0.000580189481531086,47.25999999999999,0.23910189982728844,True
orig,GM paper,default,,1000000.0,uncapped,optimal,False,,0.9999997389333717,0.8421199757145471,-1.442586487343064,0.8941654470114354,-7.900043500898921,0.7096108990131873,184.86648191455512,0.29229122055674517,False
orig,Delta neutral,delta,,1000000.0,uncapped,reference,False,,0.9999998670441654,0.7813226406905281,-1.6413606468314528,0.7777224854901758,-6.296928281125007,0.566288471052679,146.70185865308935,0.2762312633832976,False
orig,Equal premium,naive,,1000000.0,naive,reference,False,,0.9999999999999999,0.26720609586855976,-1.2018621455650496,0.5349314313520563,-3.330750366541321,0.2967765238918966,227.51575546606597,0.4428979300499643,False
orig,Equal risk,naive,,1000000.0,naive,reference,False,,1.0,0.3398774829634941,-0.7310758622105712,0.45098340578702545,-1.0551161436922953,0.10443665552657001,124.00150562653495,0.3932905067808708,False
orig,GM combined,primary,0.05,1000000.0,hard,optimal,True,0.7385426750000001,0.5851523884432532,0.9944560199089242,0.6949238604545791,0.8487345022525954,0.593910288251438,0.008687822935248557,32.63765984396856,0.18308351177730192,False
orig,GM combined,primary,0.05,1000000.0,relaxed,optimal,True,0.7385426750000001,0.41553379359988346,1.0611920696347419,0.8315752998591642,0.5558180681859914,0.43516705810635015,0.0008222038992476736,32.52391251734091,0.14632405424696646,False
orig,GM combined alt,alt,0.05,1000000.0,hard,optimal,True,0.7385426750000001,0.5365341541235149,0.9612972492072139,0.7197911142808207,0.8503175207624307,0.6361113665319851,0.007431364075724302,28.301530511786424,0.15810135617416132,False
orig,GM combined alt,alt,0.05,1000000.0,relaxed,optimal,True,0.7385426750000001,0.3085491640441972,1.0760035268640038,0.9220647377381381,0.5883729058147956,0.5040070311070242,0.0005158764273499874,32.52366195002163,0.10171306209850108,False
orig,Equal premium capped,naive_capped,0.05,1000000.0,relaxed,reference,True,0.7385426750000001,0.7016155412500003,0.5339601177891415,0.34997817375459306,0.6718324364382067,0.4408374574111397,0.005712824163158211,32.637663994169095,0.20378301213418987,False
orig,Equal risk capped,naive_capped,0.05,1000000.0,relaxed,reference,True,0.7385426750000001,0.7016155412500003,0.5502190612573529,0.3269915262659169,0.6760192024098434,0.4029534858005679,0.009265512217886766,32.637663994169095,0.20092790863668808,False
orig,GM paper,default,,5000000.0,uncapped,optimal,False,,0.9999997389333717,0.8421199757145471,-1.5952424993557213,0.8941654470114354,-219.84396056954026,18.37160398806663,924.3324095727755,0.539971448965025,False
orig,Delta neutral,delta,,5000000.0,uncapped,reference,False,,0.9999998670441654,0.7813226406905281,-1.8064487225640757,0.7777224854901758,-176.51745286867776,14.751332186682077,733.5092932654468,0.5089221984296931,False
orig,Equal premium,naive,,5000000.0,naive,reference,False,,0.9999999999999999,0.26720609586855976,-1.9156461839980148,0.5349314313520563,-92.03770009622774,7.689022334699096,1137.57877733033,0.8226266952177016,False
orig,Equal risk,naive,,5000000.0,naive,reference,False,,1.0,0.3398774829634941,-2.5794989229518643,0.45098340578702545,-33.934365434914525,2.8443740964617557,620.0075281326748,0.7498215560314061,False
orig,GM combined,primary,0.05,5000000.0,hard,infeasible,True,0.147708535,0.0,,,0.0,0.0,0.0,,0.0,False
orig,GM combined,primary,0.05,5000000.0,relaxed,optimal,True,0.147708535,0.003943006803250212,0.699376800271818,0.3970348719550241,0.0021821530609161663,0.0012436505871344572,3.159950896509725e-07,2.8736526979831774,0.0024982155603140615,False
orig,GM combined alt,alt,0.05,5000000.0,hard,infeasible,True,0.147708535,0.0,,,0.0,0.0,0.0,,0.0,False
orig,GM combined alt,alt,0.05,5000000.0,relaxed,optimal,True,0.147708535,0.004961590318394292,0.8685102001823664,0.6361452630532662,0.004948563832700705,0.003629094197172428,3.1382954648055874e-07,3.0646947992563343,0.0046395431834403995,False
orig,Equal premium capped,naive_capped,0.05,5000000.0,relaxed,reference,True,0.147708535,0.14032310824999997,0.5339601177891415,0.34997817375459295,0.13436648728764125,0.08816749148222791,0.0011425648326316385,32.637663994169095,0.20378301213418987,False
