underlying,quote_symbol,asset_class,moneyness_bucket,tenor_bucket,chain_timestamp,source_url,n_quotes,n_liquid_quotes,total_volume,total_open_interest,fill_relative_spread,fill_abs_spread,median_relative_spread,p25_relative_spread,p75_relative_spread,median_abs_spread,p25_abs_spread,p75_abs_spread,median_mid,fill_method
AMAT,AMAT,equity_option,put_wing,46_120d,2026-07-03 19:14:38,https://cdn.cboe.com/api/global/delayed_quotes/options/AMAT.json,24,6,930.0,7709.0,0.08979975077621374,5.3249999999999975,0.11248502412330416,0.08979975077621374,0.12913260543085595,6.074999999999999,5.3249999999999975,7.125000000000005,56.2875,cboe_current_liquid_quartile_p25_relative_spread
AMAT,AMAT,equity_option,put_wing,all,2026-07-03 19:14:38,https://cdn.cboe.com/api/global/delayed_quotes/options/AMAT.json,137,35,5242.0,22279.0,0.12818199358041144,2.3999999999999986,0.18551461245235062,0.12818199358041144,0.26293966922897727,3.6499999999999986,2.3999999999999986,6.024999999999997,19.675,cboe_current_liquid_quartile_p25_relative_spread
AMAT,AMAT,equity_option,put_wing,le_45d,2026-07-03 19:14:38,https://cdn.cboe.com/api/global/delayed_quotes/options/AMAT.json,113,29,4312.0,14570.0,0.16233766233766223,2.1499999999999995,0.23713646532438482,0.16233766233766223,0.27944111776447106,2.75,2.1499999999999995,4.300000000000001,12.8,cboe_current_liquid_quartile_p25_relative_spread
AMD,AMD,equity_option,all,all,2026-07-03 20:41:08,https://cdn.cboe.com/api/global/delayed_quotes/options/AMD.json,483,121,123739.0,301838.0,0.04661016949152533,0.6999999999999993,0.062222222222222054,0.04661016949152533,0.07999999999999995,1.1499999999999986,0.6999999999999993,1.3999999999999986,18.375,cboe_current_liquid_quartile_p25_relative_spread
AMD,AMD,equity_option,atm,46_120d,2026-07-03 20:41:08,https://cdn.cboe.com/api/global/delayed_quotes/options/AMD.json,18,5,2757.0,17755.0,0.024464831804281474,1.3500000000000014,0.024539877300613407,0.024464831804281474,0.02475928473177444,1.3999999999999986,1.3500000000000014,1.5999999999999943,60.575,cboe_current_liquid_quartile_p25_relative_spread
AMD,AMD,equity_option,atm,all,2026-07-03 20:41:08,https://cdn.cboe.com/api/global/delayed_quotes/options/AMD.json,125,32,48517.0,80801.0,0.04203156656427694,1.0499999999999998,0.050703794369645096,0.04203156656427694,0.06306780776826855,1.2000000000000002,1.0499999999999998,1.3625000000000007,23.612499999999997,cboe_current_liquid_quartile_p25_relative_spread
AMD,AMD,equity_option,atm,le_45d,2026-07-03 20:41:08,https://cdn.cboe.com/api/global/delayed_quotes/options/AMD.json,107,27,45760.0,63046.0,0.043877106061633114,1.0249999999999986,0.05273833671399598,0.043877106061633114,0.06465547272347247,1.1999999999999993,1.0249999999999986,1.2750000000000004,22.0,cboe_current_liquid_quartile_p25_relative_spread
AMD,AMD,equity_option,call_near,46_120d,2026-07-03 20:41:08,https://cdn.cboe.com/api/global/delayed_quotes/options/AMD.json,24,6,2863.0,14673.0,0.028841338538384255,1.5124999999999993,0.03186601865444006,0.028841338538384255,0.036692991225259375,1.5499999999999972,1.5124999999999993,1.6625000000000014,50.150000000000006,cboe_current_liquid_quartile_p25_relative_spread
AMD,AMD,equity_option,call_near,all,2026-07-03 20:41:08,https://cdn.cboe.com/api/global/delayed_quotes/options/AMD.json,121,31,26988.0,57603.0,0.051397941680960554,0.6749999999999998,0.06603773584905653,0.051397941680960554,0.08055234983222147,1.1000000000000014,0.6749999999999998,1.5249999999999986,14.8,cboe_current_liquid_quartile_p25_relative_spread
AMD,AMD,equity_option,call_near,le_45d,2026-07-03 20:41:08,https://cdn.cboe.com/api/global/delayed_quotes/options/AMD.json,97,25,24125.0,42930.0,0.05405405405405398,0.4500000000000002,0.06947524020694756,0.05405405405405398,0.08510638297872347,1.0500000000000007,0.4500000000000002,1.3999999999999986,12.25,cboe_current_liquid_quartile_p25_relative_spread
AMD,AMD,equity_option,put_near,46_120d,2026-07-03 20:41:08,https://cdn.cboe.com/api/global/delayed_quotes/options/AMD.json,18,5,2098.0,21199.0,0.02289156626506031,1.25,0.024266936299292125,0.02289156626506031,0.02794857462269424,1.5,1.25,1.9000000000000057,60.975,cboe_current_liquid_quartile_p25_relative_spread
AMD,AMD,equity_option,put_near,all,2026-07-03 20:41:08,https://cdn.cboe.com/api/global/delayed_quotes/options/AMD.json,101,26,22064.0,65148.0,0.050639695712309765,0.8124999999999998,0.06347550754330408,0.050639695712309765,0.07621813956865868,0.9499999999999993,0.8124999999999998,1.3999999999999986,14.375,cboe_current_liquid_quartile_p25_relative_spread
AMD,AMD,equity_option,put_near,le_45d,2026-07-03 20:41:08,https://cdn.cboe.com/api/global/delayed_quotes/options/AMD.json,83,21,19966.0,43949.0,0.057803468208092484,0.75,0.07070707070707064,0.057803468208092484,0.07659574468085094,0.9499999999999993,0.75,1.3499999999999996,13.225,cboe_current_liquid_quartile_p25_relative_spread
AMD,AMD,equity_option,put_wing,46_120d,2026-07-03 20:41:08,https://cdn.cboe.com/api/global/delayed_quotes/options/AMD.json,30,8,3586.0,33099.0,0.03661281922151477,1.1999999999999993,0.04181235431235432,0.03661281922151477,0.04688605654210323,1.2249999999999996,1.1999999999999993,1.75,34.1375,cboe_current_liquid_quartile_p25_relative_spread
AMD,AMD,equity_option,put_wing,all,2026-07-03 20:41:08,https://cdn.cboe.com/api/global/delayed_quotes/options/AMD.json,136,34,26170.0,98286.0,0.05632594648131903,0.4750000000000001,0.08094344679710538,0.05632594648131903,0.12258482965795053,0.7000000000000002,0.4750000000000001,1.2374999999999998,9.225,cboe_current_liquid_quartile_p25_relative_spread
AMD,AMD,equity_option,put_wing,le_45d,2026-07-03 20:41:08,https://cdn.cboe.com/api/global/delayed_quotes/options/AMD.json,106,27,22584.0,65187.0,0.0726357425386551,0.4199999999999997,0.09584664536741204,0.0726357425386551,0.1287681722464331,0.6000000000000005,0.4199999999999997,1.1749999999999998,6.1,cboe_current_liquid_quartile_p25_relative_spread
AMZN,AMZN,equity_option,all,all,2026-07-04 01:01:23,https://cdn.cboe.com/api/global/delayed_quotes/options/AMZN.json,320,80,120889.0,948352.0,0.0548376727740276,0.2949999999999999,0.07031936160643859,0.0548376727740276,0.11033313679245284,0.4500000000000002,0.2949999999999999,0.8500000000000001,7.4125,cboe_current_liquid_quartile_p25_relative_spread
AMZN,AMZN,equity_option,atm,46_120d,2026-07-04 01:01:23,https://cdn.cboe.com/api/global/delayed_quotes/options/AMZN.json,18,5,10499.0,127024.0,0.03981623277182227,0.6499999999999986,0.0546448087431694,0.03981623277182227,0.05714285714285722,0.75,0.6499999999999986,1.0,14.45,cboe_current_liquid_quartile_p25_relative_spread
AMZN,AMZN,equity_option,atm,all,2026-07-04 01:01:23,https://cdn.cboe.com/api/global/delayed_quotes/options/AMZN.json,78,20,58004.0,273848.0,0.049450549450549476,0.35000000000000053,0.06576847163820473,0.049450549450549476,0.07124013076143687,0.5000000000000004,0.35000000000000053,0.8000000000000003,7.9125,cboe_current_liquid_quartile_p25_relative_spread
AMZN,AMZN,equity_option,atm,le_45d,2026-07-04 01:01:23,https://cdn.cboe.com/api/global/delayed_quotes/options/AMZN.json,60,15,47505.0,146824.0,0.06000911992704052,0.3500000000000001,0.06769230769230777,0.06000911992704052,0.08870480037426268,0.4500000000000002,0.3500000000000001,0.8250000000000002,6.775,cboe_current_liquid_quartile_p25_relative_spread
AMZN,AMZN,equity_option,call_near,46_120d,2026-07-04 01:01:23,https://cdn.cboe.com/api/global/delayed_quotes/options/AMZN.json,18,5,11695.0,120096.0,0.047999999999999925,0.4499999999999993,0.054545454545454675,0.047999999999999925,0.05642633228840117,0.4499999999999993,0.4499999999999993,0.6000000000000014,9.375,cboe_current_liquid_quartile_p25_relative_spread
AMZN,AMZN,equity_option,call_near,all,2026-07-04 01:01:23,https://cdn.cboe.com/api/global/delayed_quotes/options/AMZN.json,71,18,35082.0,251652.0,0.05521790023410768,0.22249999999999998,0.08340578450124615,0.05521790023410768,0.11617426711960563,0.37999999999999945,0.22249999999999998,0.48750000000000004,4.2875000000000005,cboe_current_liquid_quartile_p25_relative_spread
AMZN,AMZN,equity_option,call_near,le_45d,2026-07-04 01:01:23,https://cdn.cboe.com/api/global/delayed_quotes/options/AMZN.json,53,14,23387.0,131556.0,0.08586422173296746,0.2024999999999998,0.1239301343867395,0.08586422173296746,0.16889632107023414,0.2799999999999999,0.2024999999999998,0.41500000000000004,2.09,cboe_current_liquid_quartile_p25_relative_spread
AMZN,AMZN,equity_option,put_near,46_120d,2026-07-04 01:01:23,https://cdn.cboe.com/api/global/delayed_quotes/options/AMZN.json,24,6,5180.0,159268.0,0.04375206561908475,0.4125000000000001,0.05030766736409753,0.04375206561908475,0.06044351645186846,0.4499999999999993,0.4125000000000001,0.4500000000000006,9.05,cboe_current_liquid_quartile_p25_relative_spread
