arm,config,decision_date,symbol,artifact_mark,observed_mid,coverage,quote_schema,absolute_error,relative_error,regime
R1,larger,2021-08-31,MSFT  210917C00315000,0.63,0.5800000000000001,covered,cbbo-1m,0.04999999999999993,0.08620689655172402,pre_2023_03_28
R1,larger,2021-08-31,MSFT  210917P00300000,2.54,3.075,covered,cbbo-1m,0.5350000000000001,0.1739837398373984,pre_2023_03_28
R1,larger,2021-08-31,NKE   210917C00165000,2.62,2.645,covered,cbbo-1m,0.02499999999999991,0.009451795841209797,pre_2023_03_28
R1,larger,2021-08-31,NVDA  210917C00202500,23.14,22.375,covered,cbbo-1m,0.7650000000000006,0.034189944134078235,pre_2023_03_28
R1,larger,2021-08-31,NVDA  210917C00215000,11.56,11.675,covered,cbbo-1m,0.11500000000000021,0.009850107066381173,pre_2023_03_28
R1,larger,2021-08-31,NVDA  210917C00240000,1.38,1.28,covered,cbbo-1m,0.09999999999999987,0.07812499999999989,pre_2023_03_28
R1,larger,2021-08-31,PG    210917C00145000,0.51,0.5700000000000001,covered,cbbo-1m,0.06000000000000005,0.10526315789473692,pre_2023_03_28
R1,larger,2021-08-31,PYPL  210917C00290000,5.29,5.25,covered,cbbo-1m,0.040000000000000036,0.007619047619047626,pre_2023_03_28
R1,larger,2021-08-31,QCOM  210917P00145000,2.09,2.165,covered,cbbo-1m,0.07500000000000018,0.03464203233256359,pre_2023_03_28
R1,larger,2021-08-31,SBUX  210917C00113000,4.5,5.025,covered,cbbo-1m,0.5250000000000004,0.10447761194029857,pre_2023_03_28
R1,larger,2021-08-31,SBUX  210917C00120000,0.77,0.765,covered,cbbo-1m,0.0050000000000000044,0.006535947712418306,pre_2023_03_28
R1,larger,2021-08-31,TSLA  210917P00710000,12.4,12.5,covered,cbbo-1m,0.09999999999999964,0.007999999999999972,pre_2023_03_28
R1,larger,2021-08-31,TXN   210917C00190000,3.15,3.675,covered,cbbo-1m,0.5249999999999999,0.14285714285714285,pre_2023_03_28
R1,larger,2021-08-31,UNH   210917C00420000,3.28,4.075,covered,cbbo-1m,0.7950000000000004,0.1950920245398774,pre_2023_03_28
R1,larger,2021-08-31,WMT   210917C00150000,0.94,0.925,covered,cbbo-1m,0.014999999999999902,0.01621621621621611,pre_2023_03_28
R1,larger,2021-08-31,XOM   210917P00056000,1.75,1.995,covered,cbbo-1m,0.2450000000000001,0.1228070175438597,pre_2023_03_28
R1,larger,2021-09-30,AAPL  211015C00145000,1.56,1.65,covered,cbbo-1m,0.08999999999999986,0.05454545454545446,pre_2023_03_28
R1,larger,2021-09-30,AAPL  211015P00140000,2.5,2.3899999999999997,covered,cbbo-1m,0.11000000000000032,0.0460251046025106,pre_2023_03_28
R1,larger,2021-09-30,ADBE  211015C00580000,11.0,11.075,covered,cbbo-1m,0.07499999999999929,0.006772009029345309,pre_2023_03_28
R1,larger,2021-09-30,AMAT_call_put_near,5.62,,missing,cbbo-1m,,,pre_2023_03_28
R1,larger,2021-09-30,AMD   211015C00105000,2.45,2.5300000000000002,covered,cbbo-1m,0.08000000000000007,0.03162055335968382,pre_2023_03_28
R1,larger,2021-09-30,AMD   211015P00095000,0.87,0.875,covered,cbbo-1m,0.0050000000000000044,0.0057142857142857195,pre_2023_03_28
R1,larger,2021-09-30,AMD   211015P00105000,4.05,4.425000000000001,covered,cbbo-1m,0.3750000000000009,0.0847457627118646,pre_2023_03_28
R1,larger,2021-09-30,AVGO  211015C00490000,8.5,8.05,covered,cbbo-1m,0.4499999999999993,0.05590062111801233,pre_2023_03_28
R1,larger,2021-09-30,AVGO  211015C00520000,0.95,0.875,covered,cbbo-1m,0.07499999999999996,0.08571428571428566,pre_2023_03_28
R1,larger,2021-09-30,COST  211015C00455000,5.1,5.225,covered,cbbo-1m,0.125,0.023923444976076555,pre_2023_03_28
R1,larger,2021-09-30,COST  211015P00455000,8.55,9.95,covered,cbbo-1m,1.3999999999999986,0.14070351758793956,pre_2023_03_28
R1,larger,2021-09-30,FB    211015C00325000,21.35,18.950000000000003,covered,cbbo-1m,2.3999999999999986,0.1266490765171503,pre_2023_03_28
R1,larger,2021-09-30,GE    211015P00100000,1.63,1.585,covered,cbbo-1m,0.04499999999999993,0.028391167192428977,pre_2023_03_28
R1,larger,2021-09-30,LLY   211015C00235000,3.8,3.7,covered,cbbo-1m,0.09999999999999964,0.02702702702702693,pre_2023_03_28
R1,larger,2021-09-30,LLY   211015P00227500,3.2,3.9,covered,cbbo-1m,0.6999999999999997,0.17948717948717943,pre_2023_03_28
