config,return_date,strategy,display_strategy,train_start,train_end,status,solver_status,capacity_infeasible,deployed_gross,gross_ret,net_ret
orig,2024-05-31,orig E1 capped,E1 capped,2021-02-26,2024-04-30,ok,optimal,False,0.712737,0.02452786993408231,0.010153373986343375
orig,2024-05-31,orig GM paper,GM paper,2021-02-26,2024-04-30,ok,optimal,False,1.00094,0.10396091351318375,-0.0007324108597533824
orig,2024-05-31,orig Equal premium capped,Equal premium capped,2021-02-26,2024-04-30,ok,reference,False,0.962411,0.26045762915039106,0.24252703418682658
orig,2024-05-31,orig Equal risk capped,Equal risk capped,2021-02-26,2024-04-30,ok,reference,False,0.964491,0.2574746246948246,0.2395459695799192
orig,2024-06-28,orig E1 capped,E1 capped,2021-03-31,2024-05-31,ok,optimal,False,0.634127,0.25090691198730436,0.2370572322071586
orig,2024-06-28,orig GM paper,GM paper,2021-03-31,2024-05-31,ok,optimal,False,1.000665,0.28669281445312417,0.186461636677483
orig,2024-06-28,orig Equal premium capped,Equal premium capped,2021-03-31,2024-05-31,ok,reference,False,0.9726170000000001,0.7267081060180669,0.7080174248769537
orig,2024-06-28,orig Equal risk capped,Equal risk capped,2021-03-31,2024-05-31,ok,reference,False,0.9726170000000001,0.7267081060180669,0.7080174248769537
orig,2024-07-31,orig E1 capped,E1 capped,2021-04-30,2024-06-28,ok,optimal,True,0.555905,0.2269869311828613,0.21387440365111246
orig,2024-07-31,orig GM paper,GM paper,2021-04-30,2024-06-28,ok,optimal,False,0.95694,-0.0730540538635254,-0.20887291058399282
orig,2024-07-31,orig Equal premium capped,Equal premium capped,2021-04-30,2024-06-28,ok,reference,True,0.581327,0.16352590795898442,0.15014937284294608
orig,2024-07-31,orig Equal risk capped,Equal risk capped,2021-04-30,2024-06-28,ok,reference,True,0.583071,0.1697949130249024,0.15652783145144056
orig,2024-08-30,orig E1 capped,E1 capped,2021-06-30,2024-07-31,ok,optimal,True,0.616787,-0.07837402435302751,-0.09126260781413176
orig,2024-08-30,orig GM paper,GM paper,2021-06-30,2024-07-31,ok,optimal,False,1.003933,-0.05394388806152364,-0.12884814783306692
orig,2024-08-30,orig Equal premium capped,Equal premium capped,2021-06-30,2024-07-31,ok,reference,True,0.815372,-0.32982200793457045,-0.34634792768463674
orig,2024-08-30,orig Equal risk capped,Equal risk capped,2021-06-30,2024-07-31,ok,reference,True,0.815199,-0.28348103918457046,-0.2998943406990739
orig,2024-09-30,orig E1 capped,E1 capped,2021-07-30,2024-08-30,ok,optimal,True,0.5106109999999999,0.06874891253662077,0.05699873415619735
orig,2024-09-30,orig GM paper,GM paper,2021-07-30,2024-08-30,ok,optimal,False,0.9969469999999999,-0.2815341553955071,-0.5197264833382298
orig,2024-09-30,orig Equal premium capped,Equal premium capped,2021-07-30,2024-08-30,ok,reference,True,0.590175,0.08536088470458941,0.07177633876516318
orig,2024-09-30,orig Equal risk capped,Equal risk capped,2021-07-30,2024-08-30,ok,reference,True,0.5890880000000001,0.07871892047119095,0.06524011577930489
orig,2024-10-31,orig E1 capped,E1 capped,2021-08-31,2024-09-30,ok,optimal,True,0.5967370000000001,-0.14692810858154298,-0.15767408784280149
orig,2024-10-31,orig GM paper,GM paper,2021-08-31,2024-09-30,ok,optimal,False,1.002354,0.218479225402832,-3.2265498376027004
orig,2024-10-31,orig Equal premium capped,Equal premium capped,2021-08-31,2024-09-30,ok,reference,True,0.723234,-0.1439400806274414,-0.15613279684130799
orig,2024-10-31,orig Equal risk capped,Equal risk capped,2021-08-31,2024-09-30,ok,reference,True,0.722807,-0.2226230888671875,-0.23469470664860978
orig,2024-11-29,orig E1 capped,E1 capped,2021-09-30,2024-10-31,ok,optimal,True,0.6071420000000001,0.46915597882080085,0.4578404106036491
orig,2024-11-29,orig GM paper,GM paper,2021-09-30,2024-10-31,ok,optimal,False,1.0001,0.220324889038086,0.18449124745284495
orig,2024-11-29,orig Equal premium capped,Equal premium capped,2021-09-30,2024-10-31,ok,reference,True,0.780975,0.22116596221923837,0.2067985084631343
orig,2024-11-29,orig Equal risk capped,Equal risk capped,2021-09-30,2024-10-31,ok,reference,True,0.776952,0.262175963256836,0.24779542227760815
orig,2024-12-31,orig E1 capped,E1 capped,2021-10-29,2024-11-29,ok,optimal,True,0.573615,0.3656699766235353,0.354271308745366
orig,2024-12-31,orig GM paper,GM paper,2021-10-29,2024-11-29,ok,optimal,False,0.996183,0.11636094226074227,-0.6623376337703495
orig,2024-12-31,orig Equal premium capped,Equal premium capped,2021-10-29,2024-11-29,ok,reference,True,0.7547710000000001,0.6776861085205084,0.6624317981272132
orig,2024-12-31,orig Equal risk capped,Equal risk capped,2021-10-29,2024-11-29,ok,reference,True,0.75147,0.7069720831909183,0.6921155006564779
orig,2025-01-31,orig E1 capped,E1 capped,2021-11-30,2024-12-31,ok,optimal,True,0.634571,-0.16499985229492165,-0.1771251183837968
orig,2025-01-31,orig GM paper,GM paper,2021-11-30,2024-12-31,ok,optimal,False,0.997689,-0.1984649157104493,-0.2707761570923147
orig,2025-01-31,orig Equal premium capped,Equal premium capped,2021-11-30,2024-12-31,ok,reference,True,0.813026,-0.2297087990722652,-0.24491046745642583
orig,2025-01-31,orig Equal risk capped,Equal risk capped,2021-11-30,2024-12-31,ok,reference,True,0.811342,-0.1999747990722652,-0.21494895821579918
orig,2025-02-28,orig E1 capped,E1 capped,2021-12-31,2025-01-31,ok,optimal,False,0.631112,-0.08228405297851563,-0.09292383304911621
orig,2025-02-28,orig GM paper,GM paper,2021-12-31,2025-01-31,ok,optimal,False,1.001456,-0.10151992767333984,-0.310666194293327
orig,2025-02-28,orig Equal premium capped,Equal premium capped,2021-12-31,2025-01-31,ok,reference,False,0.979124,0.007202028503417987,-0.009918992685141938
orig,2025-02-28,orig Equal risk capped,Equal risk capped,2021-12-31,2025-01-31,ok,reference,False,0.9793700000000001,0.025856046813964806,0.009194297106559144
