config,path_id,strategy,display_strategy,basis,status,capacity_infeasible,deployed_gross,sharpe,sortino,ann_return,ann_vol,max_drawdown,terminal_wealth,defaulted
larger+VIX,105,larger+VIX Stock Markowitz,Stock Markowitz,gross,ok,False,1.0,-0.688032923039425,-0.7512911338505754,-0.03148712891985617,0.044954583493299394,-0.16764335027246524,0.8521714563191952,False
larger+VIX,105,larger+VIX Stock Markowitz,Stock Markowitz,full_cost_net,ok,False,1.0,-0.688032923039425,-0.7512911338505754,-0.03148712891985617,0.044954583493299394,-0.16764335027246524,0.8521714563191952,False
larger+VIX,105,larger+VIX E1 capped,E1 capped,gross,ok,False,0.8639399999999999,2.1016716429182547,7.102397595454024,3.3356907441927124,0.9009758349769619,-0.34869596490242694,1532.1154305893406,False
larger+VIX,105,larger+VIX GM paper,GM paper,gross,ok,False,0.995592,0.7106786929234294,1.3347226530646852,0.30348062556012234,0.6836886213884569,-0.5689850379583812,3.762901948038577,False
larger+VIX,105,larger+VIX Equal premium capped,Equal premium capped,gross,ok,False,0.945151,0.3098122210948063,0.6529578996492573,-0.3056663292941034,1.4518029901936838,-0.9642821662886437,0.16137681182208877,False
larger+VIX,105,larger+VIX Equal risk capped,Equal risk capped,gross,ok,False,0.935882,0.49113832478298697,1.0841877711109875,-0.05191071790330026,1.374932474509197,-0.8917487438676598,0.7660307176505547,False
larger+VIX,105,larger+VIX E1 capped,E1 capped,full_cost_net,ok,False,0.8639399999999999,1.7260122340018829,4.9946375974257915,2.157975779340096,0.8935945492611422,-0.40001119777417926,314.0826698145077,False
larger+VIX,105,larger+VIX GM paper,GM paper,full_cost_net,ok,False,0.995592,-2.283288943794181,-1.9177932755929838,-1.0,6.886237342711974,-1.0,0.0,True
larger+VIX,105,larger+VIX Equal premium capped,Equal premium capped,full_cost_net,ok,False,0.945151,0.070649659543759,0.13566849259966235,-0.5264476767943455,1.4509055603196177,-0.9888898571196593,0.023814411724264236,False
larger+VIX,105,larger+VIX Equal risk capped,Equal risk capped,full_cost_net,ok,False,0.935882,0.23676265704231514,0.4750382428710406,-0.3448090525996492,1.3712661703249598,-0.960084541721409,0.1207367388807975,False
larger+VIX,106,larger+VIX Stock Markowitz,Stock Markowitz,gross,ok,False,1.0,-0.2825185221980937,-0.38153534683994966,-0.015056086253252388,0.04941395604733533,-0.12997323080480516,0.9269525522252977,False
larger+VIX,106,larger+VIX Stock Markowitz,Stock Markowitz,full_cost_net,ok,False,1.0,-0.2825185221980937,-0.38153534683994966,-0.015056086253252388,0.04941395604733533,-0.12997323080480516,0.9269525522252977,False
larger+VIX,106,larger+VIX E1 capped,E1 capped,gross,ok,False,0.8796710000000001,1.8385063456252406,7.055777575038495,3.4406166007492915,1.119851143134972,-0.37053292369392443,1726.6980191393784,False
larger+VIX,106,larger+VIX GM paper,GM paper,gross,ok,False,1.00675,0.608123149654592,0.9310362731193743,0.15799686314536698,0.6444060811620708,-0.8053989421118204,2.0822693892214605,False
larger+VIX,106,larger+VIX Equal premium capped,Equal premium capped,gross,ok,False,0.945151,0.3098122210948063,0.6529578996492573,-0.3056663292941034,1.4518029901936838,-0.9642821662886437,0.16137681182208877,False
larger+VIX,106,larger+VIX Equal risk capped,Equal risk capped,gross,ok,False,0.9298569999999998,0.5618395692809374,1.2608729306488746,0.04350016841116022,1.374365309947658,-0.8672324582360942,1.2372646859712266,False
larger+VIX,106,larger+VIX E1 capped,E1 capped,full_cost_net,ok,False,0.8796710000000001,1.5247097752766459,4.981599932169052,2.2028170622553374,1.1149516026762896,-0.5284300678457543,337.02387464193276,False
larger+VIX,106,larger+VIX GM paper,GM paper,full_cost_net,ok,False,1.00675,-2.5551106179698446,-2.0679805857809,-1.0,3.5692737695042136,-1.0,0.0,True
larger+VIX,106,larger+VIX Equal premium capped,Equal premium capped,full_cost_net,ok,False,0.945151,0.070649659543759,0.13566849259966235,-0.5264476767943455,1.4509055603196177,-0.9888898571196593,0.023814411724264236,False
larger+VIX,106,larger+VIX Equal risk capped,Equal risk capped,full_cost_net,ok,False,0.9298569999999998,0.3106386087507274,0.6345774161217197,-0.27322154198634785,1.370691656088351,-0.9490616839507436,0.2027730487145515,False
larger+VIX,107,larger+VIX Stock Markowitz,Stock Markowitz,gross,ok,False,1.0,0.29811020537948885,0.4057710709968901,0.009942701866996861,0.035260081430118106,-0.048771868581765965,1.0507119605888033,False
larger+VIX,107,larger+VIX Stock Markowitz,Stock Markowitz,full_cost_net,ok,False,1.0,0.29811020537948885,0.4057710709968901,0.009942701866996861,0.035260081430118106,-0.048771868581765965,1.0507119605888033,False
larger+VIX,107,larger+VIX E1 capped,E1 capped,gross,ok,False,0.834314,1.7256414694425264,5.907932120435756,2.7204834692521556,1.0556260617690543,-0.35298018676042076,712.8479354934801,False
larger+VIX,107,larger+VIX GM paper,GM paper,gross,ok,False,0.997016,0.6661313350903609,1.107074431047445,0.2417407657017907,0.6063487520897001,-0.5699043167283211,2.9522606304547256,False
larger+VIX,107,larger+VIX Equal premium capped,Equal premium capped,gross,ok,False,0.945151,0.3098122210948063,0.6529578996492573,-0.3056663292941034,1.4518029901936838,-0.9642821662886437,0.16137681182208877,False
larger+VIX,107,larger+VIX Equal risk capped,Equal risk capped,gross,ok,False,0.92669,0.5481019496579509,1.2379821639673185,0.026116954802513304,1.3828679407814561,-0.861629500529768,1.1375862082438986,False
larger+VIX,107,larger+VIX E1 capped,E1 capped,full_cost_net,ok,False,0.834314,1.408605815420173,4.156332273414587,1.7161036890410757,1.0513761827426027,-0.5035162106029671,147.81949934202615,False
larger+VIX,107,larger+VIX GM paper,GM paper,full_cost_net,ok,False,0.997016,-2.8296150562242035,-2.202479414619107,-1.0,4.472961552114815,-1.0,0.0,True
larger+VIX,107,larger+VIX Equal premium capped,Equal premium capped,full_cost_net,ok,False,0.945151,0.070649659543759,0.13566849259966235,-0.5264476767943455,1.4509055603196177,-0.9888898571196593,0.023814411724264236,False
larger+VIX,107,larger+VIX Equal risk capped,Equal risk capped,full_cost_net,ok,False,0.92669,0.29965751991010076,0.6157957589017627,-0.2843155036321465,1.3789098027781246,-0.9475638850043201,0.18776214875819972,False
larger+VIX,108,larger+VIX Stock Markowitz,Stock Markowitz,gross,ok,False,1.0,-0.08986964587366365,-0.14954169472057724,-0.006579159801116563,0.056388699767299384,-0.10603741908459208,0.9675342159751498,False
larger+VIX,108,larger+VIX Stock Markowitz,Stock Markowitz,full_cost_net,ok,False,1.0,-0.08986964587366365,-0.14954169472057724,-0.006579159801116563,0.056388699767299384,-0.10603741908459208,0.9675342159751498,False
larger+VIX,108,larger+VIX E1 capped,E1 capped,gross,ok,False,0.8225250000000001,1.758584635215957,5.795714833136239,2.5762780430576164,0.9851738697953021,-0.3558333471787021,585.0006943229167,False
larger+VIX,108,larger+VIX GM paper,GM paper,gross,ok,False,1.000843,1.2363763354833448,2.974096123335702,0.8225017276472018,0.6442521795763014,-0.5228740958754474,20.106651169306243,False
larger+VIX,108,larger+VIX Equal premium capped,Equal premium capped,gross,ok,False,0.945151,0.3098122210948063,0.6529578996492573,-0.3056663292941034,1.4518029901936838,-0.9642821662886437,0.16137681182208877,False
larger+VIX,108,larger+VIX Equal risk capped,Equal risk capped,gross,ok,False,0.930976,0.5402078540873833,1.217134748844551,0.01470358352894996,1.3842943825092202,-0.8631303099984055,1.0757118941867236,False
larger+VIX,108,larger+VIX E1 capped,E1 capped,full_cost_net,ok,False,0.8225250000000001,1.427057413845584,4.050189232092083,1.6284447258377073,0.98055500844707,-0.4515343950467644,125.45681068247653,False
larger+VIX,108,larger+VIX GM paper,GM paper,full_cost_net,ok,False,1.000843,-2.168196037642151,-1.8491628545026964,-1.0,6.855402338568945,-1.0,0.0,True
larger+VIX,108,larger+VIX Equal premium capped,Equal premium capped,full_cost_net,ok,False,0.945151,0.070649659543759,0.13566849259966235,-0.5264476767943455,1.4509055603196177,-0.9888898571196593,0.023814411724264236,False
larger+VIX,108,larger+VIX Equal risk capped,Equal risk capped,full_cost_net,ok,False,0.930976,0.2900054506769982,0.5945318536269032,-0.2946791487321967,1.380427380997416,-0.9486993832173154,0.17455553119950817,False
larger+VIX,109,larger+VIX Stock Markowitz,Stock Markowitz,gross,ok,False,0.9999999999999999,-0.41810706637381284,-0.5593745134728555,-0.01740746940500626,0.04008229534903215,-0.09595578483559808,0.9159405622807931,False
larger+VIX,109,larger+VIX Stock Markowitz,Stock Markowitz,full_cost_net,ok,False,0.9999999999999999,-0.41810706637381284,-0.5593745134728555,-0.01740746940500626,0.04008229534903215,-0.09595578483559808,0.9159405622807931,False
larger+VIX,109,larger+VIX E1 capped,E1 capped,gross,ok,False,0.8534100000000001,2.712742629264023,12.611791691967207,4.951713782181904,0.8038015237978,-0.28012743096985593,7468.101108859852,False
larger+VIX,109,larger+VIX GM paper,GM paper,gross,ok,False,1.0103179999999998,2.044103165693415,5.270313744597404,1.5864922719498566,0.5509629181599024,-0.277359612154109,115.75930900258331,False
larger+VIX,109,larger+VIX Equal premium capped,Equal premium capped,gross,ok,False,0.945151,0.3098122210948063,0.6529578996492573,-0.3056663292941034,1.4518029901936838,-0.9642821662886437,0.16137681182208877,False
larger+VIX,109,larger+VIX Equal risk capped,Equal risk capped,gross,ok,False,0.9403829999999999,0.1336026079647299,0.2569073590169121,-0.4060079459066721,1.3085199515075852,-0.9667282675793176,0.07394404035410171,False
larger+VIX,109,larger+VIX E1 capped,E1 capped,full_cost_net,ok,False,0.8534100000000001,2.287355774309664,8.757873670669811,3.344004610978068,0.7958201588110045,-0.31954871758757397,1546.861348414244,False
larger+VIX,109,larger+VIX GM paper,GM paper,full_cost_net,ok,False,1.0103179999999998,-2.77849796241361,-2.17982727768662,-1.0,2.1629122384829493,-1.0,0.0,True
larger+VIX,109,larger+VIX Equal premium capped,Equal premium capped,full_cost_net,ok,False,0.945151,0.070649659543759,0.13566849259966235,-0.5264476767943455,1.4509055603196177,-0.9888898571196593,0.023814411724264236,False
