fold_id,scheme,strategy,basis,is_sharpe,oos_sharpe,status
cpcv_02_07,cpcv,Beta/delta-neutral + VIX,gross,1.2091893980591184,1.4074687496680995,ok
cpcv_02_07,cpcv,Equal premium,gross,0.4222019504127783,-0.35201301538498275,ok
cpcv_02_07,cpcv,Equal risk,gross,0.7044482378862474,-0.045178861693447925,ok
cpcv_02_07,cpcv,VIX hedge sleeve,gross,-0.3133302912784351,-3.3477205858690655,ok
cpcv_02_08,cpcv,Equity-option Greek Markowitz,gross,1.5193263304692222,1.8957666381102611,ok
cpcv_02_08,cpcv,Greek Markowitz + VIX,gross,1.1544985335785711,1.5612897207964376,ok
cpcv_02_08,cpcv,Beta/delta-neutral + VIX,gross,1.1171362430853446,1.5572339046119386,ok
cpcv_02_08,cpcv,Equal premium,gross,0.33276074806409106,0.22237602395522746,ok
cpcv_02_08,cpcv,Equal risk,gross,0.511697440881015,0.8404697484437332,ok
cpcv_02_08,cpcv,VIX hedge sleeve,gross,-0.28115772615807794,-4.586965610839804,ok
cpcv_02_09,cpcv,Equity-option Greek Markowitz,gross,1.3900662852626577,2.3904806981004185,ok
cpcv_02_09,cpcv,Greek Markowitz + VIX,gross,1.0009752478661296,2.799530918079623,ok
cpcv_02_09,cpcv,Beta/delta-neutral + VIX,gross,0.9858232438323684,2.1721391115292032,ok
cpcv_02_09,cpcv,Equal premium,gross,0.2900262199363569,0.09894231143021169,ok
cpcv_02_09,cpcv,Equal risk,gross,0.43007267865707066,0.7944034967844897,ok
cpcv_02_09,cpcv,VIX hedge sleeve,gross,-0.31550777830987675,-4.427123884124024,ok
cpcv_02_10,cpcv,Equity-option Greek Markowitz,gross,1.3638328574525318,2.1642940152786156,ok
cpcv_02_10,cpcv,Greek Markowitz + VIX,gross,1.0578112971038327,2.3073452704053126,ok
cpcv_02_10,cpcv,Beta/delta-neutral + VIX,gross,1.009481857174751,2.0356190756688517,ok
cpcv_02_10,cpcv,Equal premium,gross,0.41321058131248134,-0.41567447405474245,ok
cpcv_02_10,cpcv,Equal risk,gross,0.5959362808146567,0.06137225154368409,ok
cpcv_02_10,cpcv,VIX hedge sleeve,gross,-0.3160903803570734,-3.1868865837555935,ok
cpcv_02_11,cpcv,Equity-option Greek Markowitz,gross,1.704811350858184,1.1723610452083288,ok
cpcv_02_11,cpcv,Greek Markowitz + VIX,gross,1.5788508703683375,1.1969515921600788,ok
