fold_id,scheme,strategy,basis,sharpe,sortino,max_drawdown,ann_return,ann_vol,defaulted,n_test_months,status
cpcv_00_11,cpcv,VIX hedge sleeve,full_spread_post_cost,-2.1717703842352427,-1.8723342396069607,-0.9978153115834042,-0.9871683627093398,1.107538387127582,False,21,ok
cpcv_01_02,cpcv,Equity-option Greek Markowitz,gross,1.3296873104785147,2.7674002899212664,-0.3472693892104193,1.1376462089920873,0.8175732548549305,False,22,ok
cpcv_01_02,cpcv,Greek Markowitz + VIX,gross,-0.352580728034069,-0.4643410804232503,-0.8306487879915223,-0.42387085040837635,0.7312276613136152,False,22,ok
cpcv_01_02,cpcv,Beta/delta-neutral + VIX,gross,-0.3361720031706298,-0.4331250218179438,-0.7046038730366875,-0.2600959487862893,0.4992396350638927,False,22,ok
cpcv_01_02,cpcv,Equal premium,gross,0.0947294475260641,0.2221159114777424,-0.9367502970744546,-0.5907798163396298,1.855376234517575,False,22,ok
cpcv_01_02,cpcv,Equal risk,gross,0.2528701673326255,0.48098753875404787,-0.6128007101331929,-0.15551520288722653,1.0114769850085887,False,22,ok
cpcv_01_02,cpcv,VIX hedge sleeve,gross,-1.064485086490743,-1.4328035684919518,-1.0,-1.0,2.7037996139970097,True,22,ok
cpcv_01_02,cpcv,Equity-option Greek Markowitz,full_spread_post_cost,0.4034144100505252,0.6850897666768719,-0.22845069470457047,0.06986000520665403,0.2282339941512511,False,22,ok
cpcv_01_02,cpcv,Greek Markowitz + VIX,full_spread_post_cost,-0.5401222697938267,-0.5892138443912879,-0.6214214985377333,-0.3268908829473407,0.457552033533035,False,22,ok
cpcv_01_02,cpcv,Beta/delta-neutral + VIX,full_spread_post_cost,-0.3296844843749681,-0.4052288614355788,-0.5133310956203297,-0.19642688030576738,0.3967170600434189,False,22,ok
cpcv_01_02,cpcv,Equal premium,full_spread_post_cost,0.4866159062569569,1.036090536134993,-0.2511913453740985,0.14064830805776873,0.4757677389371908,False,22,ok
cpcv_01_02,cpcv,Equal risk,full_spread_post_cost,0.734727716136935,1.4113617316872054,-0.24065149636223038,0.26035102772721674,0.44022878216386585,False,22,ok
cpcv_01_02,cpcv,VIX hedge sleeve,full_spread_post_cost,-1.0702225607693736,-1.044433516848536,-0.6287622736842104,-0.417541772758531,0.3982513165796514,False,22,ok
