path_id,sortino_improvement,net_log_growth_improvement
492,-0.6363894038195699,-0.006377253629507522
493,-0.3046709791968061,-0.007766815175658676
494,-1.8118004189730312,-0.012113210463734488
495,-1.539556027440077,-0.011423760586990786
496,-0.781016073114981,-0.008486833784347619
497,-1.1109813984851176,-0.009143213255397686
498,-1.1969590080120731,-0.008790384937337796
499,-0.26030679973365434,-0.007593220855501064
500,-1.0667915807084207,-0.01095052455535099
501,-1.5800254843730281,-0.01129210992719611
502,-0.761033775811853,-0.006359396964871046
503,-0.8039992547310024,-0.006582530105478834
504,-0.20919548583782843,-0.007020128069421476
505,-1.6394968742551697,-0.012514483551848577
506,-1.3394696997096749,-0.011878268036434261
507,-1.378865947209481,-0.01110061447924821
508,-1.5961625868596678,-0.013425151722235965
509,-0.8827584902618664,-0.00895371691404855
510,0.028100727689175153,-0.0023321635629932956
511,-0.7977464989969537,-0.008105138605893491
512,-0.5459234622946894,-0.010110666690927436
513,-0.4490642087872988,-0.007092234033906941
514,-0.4980296653414036,-0.008822870586987233
515,-1.3157755666122386,-0.010570174322466402
516,-1.238005055191961,-0.009979567288909773
517,-0.8207541892413577,-0.007626372070729876
518,-0.9899269712423295,-0.007767845951075185
519,-1.3843077433022546,-0.011347775519639877
520,-0.8860558516575916,-0.0074667952568626015
521,-1.59770527428027,-0.01075420255072425
522,-0.9918567160560571,-0.008682577358948748
523,-1.7050276202668653,-0.011933204827045801
524,-0.3404532170907123,-0.005665209191688954
525,-0.8222735204458437,-0.008399200455531759
526,-0.9251365720355422,-0.00889706069978093
527,-0.680413730198465,-0.008834445827024456
528,-0.9554478123857888,-0.00899697595983697
529,-1.7385009830419786,-0.013441769122287471
530,-0.37306973460856707,-0.0041851002851117135
531,-1.0924722710989831,-0.00942247607918566
532,-0.9780016016265141,-0.008947213189211994
533,-0.638147795073075,-0.011860198590579633
534,-1.7249598058818276,-0.013063300618129643
535,-1.9609362773119807,-0.012743388470276942
536,-0.8940675719665014,-0.008102985942605827
537,-1.147638987205132,-0.00854459273222092
538,0.28360908999307277,-0.005343738473468797
539,-1.0948714123657743,-0.010682732083249281
540,-1.2195659102462015,-0.00937295609320441
541,0.07406204046549658,-0.0048492485710419815
542,-1.2577476876887923,-0.009970238947763312
543,-0.8793327863075556,-0.009599586102074653
544,-0.733528399016365,-0.005721764340955907
545,-0.29955579778654995,-0.004084871411306239
546,-0.2824700102726428,-0.003670874907926181
547,-0.9433824573596907,-0.010966666414605298
548,-1.0414829755653476,-0.008453416891544342
549,-0.5137927991599622,-0.009256296306382146
550,-0.3258018864274905,-0.004319085222019289
551,-0.29854515569204076,-0.005972230316844532
552,-0.7812098978139663,-0.006625125554822728
553,-1.5025183383414817,-0.01335856461415979
554,-1.4856798062738636,-0.012233021556050919
555,-0.8406928170773267,-0.009420156810122302
556,-0.7291104590435508,-0.009484004908528751
557,-1.4955458804360495,-0.01168705668552396
558,-0.7079741330245948,-0.006438968089916786
