config,return_date,family,observations,annual_downside
orig+VIX,2022-12-30,imputation_5,90,0.9356236879066808
orig+VIX,2023-01-31,recent,36,0.7905418183602465
orig+VIX,2023-01-31,expanding_bootstrap,500,0.7097396585193039
orig+VIX,2023-01-31,imputation_1,91,0.863899936088503
orig+VIX,2023-01-31,imputation_2,91,0.8509798243432226
orig+VIX,2023-01-31,imputation_3,91,0.863899872961067
orig+VIX,2023-01-31,imputation_4,91,0.8638999390911988
orig+VIX,2023-01-31,imputation_5,91,0.8632421814628916
orig+VIX,2023-02-28,recent,36,0.7679161179749041
orig+VIX,2023-02-28,expanding_bootstrap,500,0.7605102101433127
orig+VIX,2023-02-28,imputation_1,92,0.8448382279451832
orig+VIX,2023-02-28,imputation_2,92,0.7941162415656638
orig+VIX,2023-02-28,imputation_3,92,0.844837899224576
orig+VIX,2023-02-28,imputation_4,92,0.8448382278295542
orig+VIX,2023-02-28,imputation_5,92,0.8383135588951873
orig+VIX,2023-03-31,recent,36,0.9166588370569676
orig+VIX,2023-03-31,expanding_bootstrap,500,0.7485688416268407
orig+VIX,2023-03-31,imputation_1,93,0.879811174080708
orig+VIX,2023-03-31,imputation_2,93,0.8742850585440735
orig+VIX,2023-03-31,imputation_3,93,0.9959989735054793
orig+VIX,2023-03-31,imputation_4,93,1.1345475117748622
orig+VIX,2023-03-31,imputation_5,93,1.134547464552609
orig+VIX,2023-04-28,recent,36,1.5728664494816633
orig+VIX,2023-04-28,expanding_bootstrap,500,1.3286616232656423
orig+VIX,2023-04-28,imputation_1,94,1.3923252695474038
orig+VIX,2023-04-28,imputation_2,94,1.3552746826537547
orig+VIX,2023-04-28,imputation_3,94,1.4418300665608779
orig+VIX,2023-04-28,imputation_4,94,1.572866453741095
orig+VIX,2023-04-28,imputation_5,94,1.5728664293300727
orig+VIX,2023-05-31,recent,36,2.681048097099809
orig+VIX,2023-05-31,expanding_bootstrap,500,2.6810478865172502
orig+VIX,2023-05-31,imputation_1,95,2.5325885250666156
orig+VIX,2023-05-31,imputation_2,95,2.57771666016484
orig+VIX,2023-05-31,imputation_3,95,2.6810480774995935
orig+VIX,2023-05-31,imputation_4,95,2.5945876295236925
orig+VIX,2023-05-31,imputation_5,95,2.3520374326364935
orig+VIX,2023-06-30,recent,36,0.9274098495951455
orig+VIX,2023-06-30,expanding_bootstrap,500,1.0853309144868435
orig+VIX,2023-06-30,imputation_1,96,1.2581325965606422
orig+VIX,2023-06-30,imputation_2,96,1.2090460889155268
orig+VIX,2023-06-30,imputation_3,96,1.2581326352150604
orig+VIX,2023-06-30,imputation_4,96,1.230834676944061
orig+VIX,2023-06-30,imputation_5,96,1.1818603152723874
orig+VIX,2023-07-31,recent,36,1.1951063512105597
orig+VIX,2023-07-31,expanding_bootstrap,500,1.6694406006788693
orig+VIX,2023-07-31,imputation_1,97,1.8297547048844802
orig+VIX,2023-07-31,imputation_2,97,1.601195548605365
orig+VIX,2023-07-31,imputation_3,97,1.7893612047854905
orig+VIX,2023-07-31,imputation_4,97,1.8215417484253449
orig+VIX,2023-07-31,imputation_5,97,1.82975468491529
orig+VIX,2023-08-31,recent,36,0.775532988224738
orig+VIX,2023-08-31,expanding_bootstrap,500,0.9228990720938672
orig+VIX,2023-08-31,imputation_1,98,1.1383386198536596
orig+VIX,2023-08-31,imputation_2,98,1.0394167146720343
orig+VIX,2023-08-31,imputation_3,98,1.0717157330115552
orig+VIX,2023-08-31,imputation_4,98,1.1383386201606527
orig+VIX,2023-08-31,imputation_5,98,1.1383386230017338
orig+VIX,2023-09-29,recent,36,0.9180669225735052
orig+VIX,2023-09-29,expanding_bootstrap,500,0.8712640517638389
orig+VIX,2023-09-29,imputation_1,99,0.9622741331415766
orig+VIX,2023-09-29,imputation_2,99,1.011813009529538
orig+VIX,2023-09-29,imputation_3,99,1.0118137122516462
orig+VIX,2023-09-29,imputation_4,99,1.0118137313315028
